question_number,question_id,db_id,difficulty,num_documents,altered_sql,execution_time_seconds,llm_total_tokens,llm_total_cost,correct,extracted,ground_truth
47,1340,student_club,moderate,20,"SELECT SUM(CASE WHEN SUBSTR(T1.event_date, 1, 4) = '2019' THEN T2.spent ELSE 0 END) - SUM(CASE WHEN SUBSTR(T1.event_date, 1, 4) = '2020' THEN T2.spent ELSE 0 END) AS num FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event",4.967,279260,0.026329,False,['None'],[0.0]
48,1350,student_club,moderate,20,"SELECT T1.event_status FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T2  ON T1.budget_id = T2.link_to_budget WHERE T2.expense_description = 'Post Cards, Posters' AND T2.expense_date = '2019-08-20'",2.4796,142360,0.021489,True,[],[]
49,1352,student_club,moderate,20,SELECT COUNT(T1.member_id) FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T2.major_name = 'Business' AND T1.t_shirt_size = 'Medium',5.4822,139914,0.0139,False,['None'],[0]
50,1375,student_club,moderate,20,"SELECT T1.first_name, T1.last_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T2.department = 'School of Applied Sciences, Technology and Education'",4.2419,134664,0.013352,False,['None'],[]
51,1376,student_club,moderate,20,SELECT T2.event_name FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_event = T2.event_id WHERE T2.status = 'Closed' ORDER BY T1.spent / T1.amount DESC LIMIT 1,2.787,138911,0.020973,False,['None'],[]
52,1387,student_club,moderate,40,"SELECT T4.first_name, T4.last_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget INNER JOIN(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T4  ON T3.link_to_member = T4.member_id WHERE T1.event_name = 'Yearly Kickoff'",4.0626,157799,0.015409,True,[],[]
53,1390,student_club,moderate,30,SELECT CAST(SUM(CASE WHEN T1.event_name = 'Yearly Kickoff' THEN T3.cost ELSE 0 END) AS REAL) * 100 / SUM(T3.cost) FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget,6.4098,315598,0.03029,False,[],[None]
54,1398,student_club,moderate,20,SELECT T2.event_name FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_event = T2.event_id WHERE T1.category = 'Advertisement' ORDER BY T1.spent DESC LIMIT 1,2.0182,138911,0.018381,False,['None'],[]
55,1399,student_club,moderate,30,SELECT CASE WHEN T3.event_name = 'Women''s Soccer' THEN 'YES' END AS result FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM attendance ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member INNER JOIN(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T3  ON T2.link_to_event = T3.event_id WHERE T1.first_name = 'Maya' AND T1.last_name = 'Mclean',5.1416,159625,0.025233,True,[],[]
56,1401,student_club,moderate,30,SELECT T3.cost FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget WHERE T1.event_name = 'September Speaker' AND T3.expense_description = 'Posters',6.9316,157799,0.015562,True,[],[]
57,1403,student_club,moderate,20,SELECT T2.event_name FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T2  ON T2.event_id = T1.link_to_event WHERE T1.event_status = 'Closed' AND T1.remaining < 0 ORDER BY T1.remaining LIMIT 1,2.2185,138911,0.018189,False,['None'],[]
58,1426,student_club,moderate,20,"SELECT T2.last_name, T1.department, T1.college FROM(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T2  ON T1.major_id = T2.link_to_major WHERE T2.position = 'Member' AND T1.major_name = 'Environmental Engineering'",2.889,131041,0.011508,True,[],[]
59,1427,student_club,moderate,20,"SELECT DISTINCT T2.category, T1.type FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event WHERE T1.location = 'MU 215' AND T2.spent = 0 AND T1.type = 'Guest Speaker'",4.4042,143040,0.014033,False,"[0    Speaker Gifts
Name: extraction, dtype: object]","[('Speaker Gifts', 'Guest Speaker')]"
60,1432,student_club,moderate,20,SELECT CAST(SUM(CASE WHEN T2.amount = 50 THEN 1.0 ELSE 0 END) AS REAL) * 100 / COUNT(T2.income_id) FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.position = 'Member' AND T1.t_shirt_size = 'Medium',4.4871,167142,0.01544,False,['200.0'],[100.0]
61,1435,student_club,moderate,10,"SELECT DISTINCT event_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS event WHERE type = 'Game' AND date(SUBSTR(event_date, 1, 10)) BETWEEN '2019-03-15' AND '2020-03-20' AND status = 'Closed'",1.6686,9575,0.001455,False,['None'],"[""Women's Soccer"", 'Football game']"
