question_number,question_id,db_id,difficulty,num_documents,altered_sql,execution_time_seconds,llm_total_tokens,llm_total_cost,correct,extracted,ground_truth
11,1524,debit_card_specializing,simple,20,SELECT T2.Country FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-24' AND T1.Price  = 548.4,23.9312,0,0.0,False,[None],[]
12,1525,debit_card_specializing,simple,20,"SELECT CAST(SUM(IIF(T2.Currency = 'EUR', 1, 0)) AS FLOAT) * 100 / COUNT(T1.CustomerID) FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.Date = '2012-08-25'",30.4157,0,0.0,True,[None],[None]
13,1528,debit_card_specializing,simple,10,"SELECT CAST(SUM(IIF(Country = 'SVK' AND Segment = 'Premium', 1, 0)) AS FLOAT) * 100 / SUM(IIF(Country = 'SVK', 1, 0)) FROM(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS gasstations ",14.4776,0,0.0,False,[100.0],[None]
14,1473,debit_card_specializing,moderate,20,"SELECT AVG(T2.Consumption) / 12 FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME'",29.7605,0,0.0,False,[0],[34.535000000000004]
15,1490,debit_card_specializing,moderate,20,"SELECT CAST(SUM(IIF(T2.Consumption > 46.73, 1, 0)) AS FLOAT) * 100 / COUNT(T1.CustomerID) FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'LAM'",26.1196,0,0.0,False,[None],[100.0]
16,1501,debit_card_specializing,moderate,30,SELECT DISTINCT T2.Country FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T3  ON T1.CustomerID = T3.CustomerID WHERE T3.Date = '201306',25.9722,0,0.0,False,[None],[]
17,1506,debit_card_specializing,moderate,30,SELECT DISTINCT T3.Description FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID INNER JOIN(SELECT * FROM products ORDER BY ROWID LIMIT 10) AS T3  ON T1.ProductID = T3.ProductID WHERE T2.Country = 'CZE',26.7178,0,0.0,False,[None],[]
18,1509,debit_card_specializing,moderate,20,"SELECT COUNT(T1.TransactionID) FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID WHERE T2.Country = 'CZE' AND STRFTIME('%Y', T1.Date) >= '2012'",25.9101,0,0.0,True,[0],[0]
19,1521,debit_card_specializing,moderate,20,SELECT COUNT(T1.TransactionID) FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-26' AND T1.Time BETWEEN '08:00:00' AND '09:00:00' AND T2.Country = 'CZE',26.7349,0,0.0,True,[0],[0]
20,1529,debit_card_specializing,moderate,30,"SELECT SUM(T1.Price ) , SUM(IIF(T3.Date = '201201', T1.Price, 0)) FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM gasstations ORDER BY ROWID LIMIT 10) AS T2  ON T1.GasStationID = T2.GasStationID INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T3  ON T1.CustomerID = T3.CustomerID WHERE T1.CustomerID = '38508'",67.0733,0,0.0,False,"[0, 0]","[(None, None)]"
21,1531,debit_card_specializing,moderate,0,"SELECT T2.CustomerID, SUM(T2.Price / T2.Amount), T1.Currency FROM(SELECT * FROM customers ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T2.CustomerID = ( SELECT CustomerID FROM yearmonth ORDER BY Consumption DESC LIMIT 1 ) GROUP BY T2.CustomerID, T1.Currency",0.0001,0,0.0,True,[],[]
22,1533,debit_card_specializing,moderate,20,SELECT T2.Consumption FROM(SELECT * FROM transactions_1k ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM yearmonth ORDER BY ROWID LIMIT 10) AS T2  ON T1.CustomerID = T2.CustomerID WHERE T1.Price / T1.Amount > 29.00 AND T1.ProductID = 5 AND T2.Date = '201208',33.1244,0,0.0,False,[None],[]
23,1312,student_club,simple,20,SELECT T2.major_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Angela' AND T1.last_name = 'Sanders',37.4538,0,0.0,False,"[recxk3mhqfbr9j5uo appears as the link to major for the pupil club member,]",[]
24,1331,student_club,simple,20,SELECT T2.amount FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.position = 'Vice President',40.9841,0,0.0,False,[],[]
25,1334,student_club,simple,20,"SELECT T1.first_name, T1.last_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM zip_code ORDER BY ROWID LIMIT 10) AS T2  ON T1.zip = T2.zip_code WHERE T2.state = 'Illinois'",86.7055,0,0.0,False,"[None, None]",[]
26,1344,student_club,simple,10,SELECT notes FROM(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS income WHERE source = 'Fundraising' AND date_received = '2019-09-14',7.728,0,0.0,False,"[financial chronicle records a substantial milestone on 2019-10-17, when theclub’s financial rise was logged, establishing an essential date received. Thisdate was etched in the annals of the club's history, a testament to theirrelentless pursuit of sustainability and growth. Notably, it was a day

diverse revenue sources, a truly remarkable result. Though dwarfed by the hugescale of their activities, 50 still stands as an emblem of the collectivecreativity and work of its members. Each dollar w",['Secured donations to help pay for speaker gifts.']
27,1346,student_club,simple,10,SELECT phone FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS member WHERE first_name = 'Carlo' AND last_name = 'Jacobs',8.0183,0,0.0,True,"[upcoming events may phone the Member at 928-555-2577, a resource that has guided]",['928-555-2577']
28,1351,student_club,simple,20,SELECT T2.major_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Brent' AND T1.last_name = 'Thomason',27.4943,0,0.0,False,[None],[]
29,1356,student_club,simple,20,SELECT T2.department FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T1.position = 'President',26.7949,0,0.0,False,"[exuberance and steady dedication. Angela remains a zealous Member of the scholar

pupil organization benefits from Jamie’s work as a Member, with active]",[]
30,1357,student_club,simple,20,SELECT T2.date_received FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.first_name = 'Connor' AND T1.last_name = 'Hilton' AND T2.source = 'Dues',28.1881,0,0.0,False,[None],['2019-10-02']
31,1361,student_club,simple,10,SELECT SUM(cost) FROM(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS expense WHERE expense_description = 'Pizza',10.8958,0,0.0,False,[234.75],[207.23]
32,1362,student_club,simple,10,SELECT COUNT(city) FROM(SELECT * FROM zip_code ORDER BY ROWID LIMIT 10) AS zip_code WHERE county = 'Orange County' AND state = 'Virginia',8.0167,0,0.0,True,[0],[0]
33,1368,student_club,simple,20,SELECT T2.major_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T1.phone = '809-555-3360',31.3186,0,0.0,False,"[individualized information on upcoming events. This personalized approachallowed the club to cater to the diverse needs and interests of its members,making sure that everyone found something they could be passionate about. Thestudent nightclub’s newest cohort features Gilmour, whose family surname is

the pupil organization, Jamie’s dedication as a Member drives active involvement

Jamie were the backbone of the club, ensuring that ideas turned into action andplans into reality. Then there was ",[]
34,1371,student_club,simple,20,SELECT COUNT(T2.link_to_member) FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM attendance ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event WHERE T1.event_name = 'Women''s Soccer',31.8458,0,0.0,False,[0],[10]
35,1378,student_club,simple,10,SELECT MAX(spent) FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS budget ,12.8428,0,0.0,True,[173.06],[173.06]
36,1380,student_club,simple,10,SELECT SUM(spent) FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS budget WHERE category = 'Food',10.1146,0,0.0,True,[314.40],[314.4]
37,1389,student_club,simple,30,SELECT T1.event_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget ORDER BY T3.cost LIMIT 1,47.9857,0,0.0,False,[None],[]
38,1392,student_club,simple,10,SELECT source FROM(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS income WHERE date_received BETWEEN '2019-09-01' and '2019-09-30' ORDER BY source DESC LIMIT 1,13.4371,0,0.0,False,[None],['Fundraising']
39,1394,student_club,simple,20,SELECT COUNT(T2.member_id) FROM(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T2  ON T1.major_id = T2.link_to_major WHERE T1.major_name = 'Physics Teaching',39.8729,0,0.0,True,[0],[0]
40,1409,student_club,simple,10,SELECT SUM(cost) FROM(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS expense WHERE expense_date = '2019-08-20',10.2982,0,0.0,True,[122.06],[122.06]
41,1410,student_club,simple,20,"SELECT T1.first_name, T1.last_name, SUM(T2.cost) FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.member_id = 'rec4BLdZHS2Blfp4v'",99.0531,0,0.0,False,"[feeling and inclusive context. Angela, among the members, shone because of her

updates or queries, the point of contact is Angela Sanders, email

pupil organization benefits from Jamie’s work as a Member, with active

turned into action and plans into reality. Similarly, then there was rebecca,

who had her own unique way of participating. The t shirt size Rebekah chooses is

the next adventure. By virtue of its zip 55108, Emma's hometown contributes, new student‑guild members as the holder of","[('Sacha', 'Harrison', 189.87)]"
42,1411,student_club,simple,20,SELECT T2.expense_description FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.first_name = 'Sacha' AND T1.last_name = 'Harrison',31.5415,0,0.0,False,"[instance the one with President id [President_ID]. This personalized approachallowed the club to cater to the diverse needs and interests of its members,making sure that everyone found something they could be passionate about.Harrison, listed among the society’s new members, map a family surname renowned

projects that aligned with the club's mission. Members like Jamie were thebackbone of the club, ensuring that ideas turned into action and plans intoreality. Then there was Rebecca, who had he","['Post Cards, Posters', 'Posters']"
43,1422,student_club,simple,20,SELECT DISTINCT T2.category FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event WHERE T1.location = 'MU 215',31.3818,0,0.0,False,"[place where they would lay the groundwork for a important event—a charity galathat promised not only to create a difference in the community but besides tostrengthen the bonds within the club. With the society’s charity gala upcoming

visions. Scheduled at Campus Football stadium, the student society's upcomingGame ensures a cardinal location for each attendee. The next center forinnovation and planning will be the location Campus Football stadium, aconveniently located and familiar venue, wher",['Speaker Gifts']
44,1317,student_club,moderate,30,SELECT COUNT(T1.event_id) FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM attendance ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T3  ON T2.link_to_member = T3.member_id WHERE T1.event_name = 'Women''s Soccer' AND T3.t_shirt_size = 'Medium',26.5527,0,0.0,False,[0],[1]
45,1322,student_club,moderate,0,SELECT T1.event_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1   INNER JOIN(SELECT * FROM attendance ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event GROUP BY T1.event_id  HAVING COUNT(T2.link_to_event) > 10 EXCEPT SELECT T1.event_name  FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1   WHERE T1.type = 'Meeting',0.0001,0,0.0,True,[],[]
46,1323,student_club,moderate,0,SELECT T1.event_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM attendance ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event GROUP BY T1.event_id HAVING COUNT(T2.link_to_event) > 20 EXCEPT SELECT T1.event_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1   WHERE T1.type = 'Fundraiser',0.0004,0,0.0,True,[],[]
47,1338,student_club,moderate,30,SELECT T3.approved FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget WHERE T1.event_name = 'October Meeting' AND T1.event_date LIKE '2019-10-08%',28.4047,0,0.0,False,[False],[]
48,1340,student_club,moderate,20,"SELECT SUM(CASE WHEN SUBSTR(T1.event_date, 1, 4) = '2019' THEN T2.spent ELSE 0 END) - SUM(CASE WHEN SUBSTR(T1.event_date, 1, 4) = '2020' THEN T2.spent ELSE 0 END) AS num FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event",38.4419,0,0.0,True,[0.0],[0.0]
49,1350,student_club,moderate,20,"SELECT T1.event_status FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T2  ON T1.budget_id = T2.link_to_budget WHERE T2.expense_description = 'Post Cards, Posters' AND T2.expense_date = '2019-08-20'",38.898,0,0.0,False,"[concluded, the event status of the student organization’s planned activities wasset to Closed, empowering the team to wrap up financial and resourceassessments. Additionally, given the event status closed, the story transitions]",[]
50,1352,student_club,moderate,20,SELECT COUNT(T1.member_id) FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T2.major_name = 'Business' AND T1.t_shirt_size = 'Medium',31.7362,0,0.0,False,[17],[0]
51,1375,student_club,moderate,20,"SELECT T1.first_name, T1.last_name FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_major = T2.major_id WHERE T2.department = 'School of Applied Sciences, Technology and Education'",67.8059,0,0.0,False,"[feeling and inclusive context. Angela, among the members, shone because of her

something they could be passionate about. Similarly, sanders appears among the

pupil organization benefits from Jamie’s work as a Member, with active

turned into action and plans into reality. Similarly, then there was rebecca,

the next adventure. By virtue of its zip 55108, Emma's hometown contributes, something they could be passionate about. Similarly, sanders appears among thenew student‑guild members as the ",[]
52,1376,student_club,moderate,20,SELECT T2.event_name FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_event = T2.event_id WHERE T2.status = 'Closed' ORDER BY T1.spent / T1.amount DESC LIMIT 1,41.5261,0,0.0,False,[None],[]
53,1387,student_club,moderate,40,"SELECT T4.first_name, T4.last_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget INNER JOIN(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T4  ON T3.link_to_member = T4.member_id WHERE T1.event_name = 'Yearly Kickoff'",54.5273,0,0.0,False,"[, ]",[]
54,1390,student_club,moderate,30,SELECT CAST(SUM(CASE WHEN T1.event_name = 'Yearly Kickoff' THEN T3.cost ELSE 0 END) AS REAL) * 100 / SUM(T3.cost) FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget,34.7434,0,0.0,True,[None],[None]
55,1398,student_club,moderate,20,SELECT T2.event_name FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T2  ON T1.link_to_event = T2.event_id WHERE T1.category = 'Advertisement' ORDER BY T1.spent DESC LIMIT 1,32.0661,0,0.0,False,[None],[]
56,1399,student_club,moderate,30,SELECT CASE WHEN T3.event_name = 'Women''s Soccer' THEN 'YES' END AS result FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM attendance ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member INNER JOIN(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T3  ON T2.link_to_event = T3.event_id WHERE T1.first_name = 'Maya' AND T1.last_name = 'Mclean',35.0039,0,0.0,False,[False],[]
57,1401,student_club,moderate,30,SELECT T3.cost FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget WHERE T1.event_name = 'September Speaker' AND T3.expense_description = 'Posters',30.8224,0,0.0,False,[None],[]
58,1403,student_club,moderate,20,SELECT T2.event_name FROM(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T2  ON T2.event_id = T1.link_to_event WHERE T1.event_status = 'Closed' AND T1.remaining < 0 ORDER BY T1.remaining LIMIT 1,32.7538,0,0.0,False,[None],[]
59,1404,student_club,moderate,30,"SELECT T1.type, SUM(T3.cost) FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event INNER JOIN(SELECT * FROM expense ORDER BY ROWID LIMIT 10) AS T3  ON T2.budget_id = T3.link_to_budget WHERE T1.event_name = 'October Meeting'",56.8474,0,0.0,False,"[organization, directing members through the complex steps of event planning.Furthermore, as the discussion unfolded, attention turned to the logistics ofthe upcoming event. The order event is planned for the event date2019-11-24T09:00:00, which serves as an essential date for organizational

Election ensures a fundamental location for each attendee. The location MU 215,praised for its convenience and familiarity, is set to operate as the next hubof innovation and preparation, where strategies w","[(None, None)]"
60,1426,student_club,moderate,20,"SELECT T2.last_name, T1.department, T1.college FROM(SELECT * FROM major ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T2  ON T1.major_id = T2.link_to_major WHERE T2.position = 'Member' AND T1.major_name = 'Environmental Engineering'",78.6545,0,0.0,False,"[None, None, None]",[]
61,1427,student_club,moderate,20,"SELECT DISTINCT T2.category, T1.type FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM budget ORDER BY ROWID LIMIT 10) AS T2  ON T1.event_id = T2.link_to_event WHERE T1.location = 'MU 215' AND T2.spent = 0 AND T1.type = 'Guest Speaker'",56.5389,0,0.0,False,"[place where they would lay the groundwork for a important event—a charity galathat promised not only to create a difference in the community but besides tostrengthen the bonds within the club. With the society’s charity gala upcoming, new recruits was held at the March Game, an event eagerly awaited for the

place where they would lay the groundwork for a important event—a charity gala

wrapped up, the room pulsed with the twin sensations of achievement andanticipation. The student club was not","[('Speaker Gifts', 'Guest Speaker')]"
62,1432,student_club,moderate,20,SELECT CAST(SUM(CASE WHEN T2.amount = 50 THEN 1.0 ELSE 0 END) AS REAL) * 100 / COUNT(T2.income_id) FROM(SELECT * FROM member ORDER BY ROWID LIMIT 10) AS T1  INNER JOIN(SELECT * FROM income ORDER BY ROWID LIMIT 10) AS T2  ON T1.member_id = T2.link_to_member WHERE T1.position = 'Member' AND T1.t_shirt_size = 'Medium',33.2358,0,0.0,False,[None],[100.0]
63,1435,student_club,moderate,10,"SELECT DISTINCT event_name FROM(SELECT * FROM event ORDER BY ROWID LIMIT 10) AS event WHERE type = 'Game' AND date(SUBSTR(event_date, 1, 10)) BETWEEN '2019-03-15' AND '2020-03-20' AND status = 'Closed'",14.9744,0,0.0,False,"[new recruits was held at the March Game, an event eagerly awaited for the

place where they would lay the groundwork for a important event—a charity gala]","[""Women's Soccer"", 'Football game']"
